state_names,initial_conditions,model_sd,vert_decorr_length,initial_model_sd,states_to_obs_1,states_to_obs_mapping_1,states_to_obs_2,states_to_obs_mapping_2,states_to_obs_3,states_to_obs_mapping_3,init_obs_name,init_obs_mapping,,
temp,20,1.35,2,1.35,temp,1,NA,NA,NA,NA,temp,1,1.35,1.35
OXY_oxy,300,20,2,42,OXY_oxy,1,NA,NA,NA,NA,OXY_oxy,1,41,21
CAR_dic,100,0,2,179.86,CAR_dic,1,NA,NA,NA,NA,CAR_dic,1,179.86,179.86
CAR_ch4,1,0,2,8.47,CAR_ch4,1,NA,NA,NA,NA,CAR_ch4,1,8.47,8.47
SIL_rsi,100,0,2,37.9,NA,NA,NA,NA,NA,NA,NA,NA,37.9,37.9
NIT_amm,0.69,0.1,2,0.72,NIT_amm,1,NIT_total,1,NA,NA,NIT_amm,1,0.72,0.72
NIT_nit,0.05,0.05,2,0.12,NIT_nit,1,NIT_total,1,NA,NA,NIT_nit,1,0.12,0.12
PHS_frp,0.07,0.01,2,0.04,PHS_frp,1,PHS_total,1,NA,NA,PHS_frp,1,0.04,0.04
OGM_doc,50,5,2,7.8,OGM_doc_total,1,NA,NA,NA,NA,OGM_doc_total,0.1,7.8,7.8
OGM_docr,250,25,2,65.8,OGM_doc_total,1,NA,NA,NA,NA,OGM_doc_total,0.9,65.8,65.8
OGM_poc,5,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,5,5
OGM_don,3,1,2,1.44,NIT_total,1,NA,NA,NA,NA,NA,NA,1.44,1.44
OGM_donr,7,1,2,1.44,NIT_total,1,NA,NA,NA,NA,NA,NA,1.44,1.44
OGM_pon,1,1,2,1.44,NIT_total,1,NA,NA,NA,NA,NA,NA,1.44,1.44
OGM_dop,0.05,0.01,2,0.1,PHS_total,1,NA,NA,NA,NA,NA,NA,0.08,0.08
OGM_dopr,0.03,0.01,2,0.1,PHS_total,1,NA,NA,NA,NA,NA,NA,0.08,0.08
OGM_pop,0.02,0.01,2,0.1,PHS_total,1,NA,NA,NA,NA,NA,NA,0.08,0.08
PHY_cyano,10,1,2,2,PHY_TCHLA,0.075,NIT_total,0.12,PHS_total,0.0005,PHY_TCHLA,0.4,4,4
PHY_green,10,1,2,2,PHY_TCHLA,0.2004,NIT_total,0.12,PHS_total,0.0005,PHY_TCHLA,0.3,4,4
PHY_diatom,10,1,2,2,PHY_TCHLA,0.2004,NIT_total,0.12,PHS_total,0.0005,PHY_TCHLA,0.3,4,4
